GforgeID, FileName, FileSize, FileSize, AddDate, AddedBy, Description
11919, caAERS_chg_PW_error.doc, 46592, application/msword, 01/28/2008 16:02:12, brownp, Logfile Error for caAERS Chg Password Action
12317, C3PR_SessionTimeOutMsg_Scrnshot.doc, 30720, application/msword, 02/08/2008 14:34:06, brownp, Screen Snapshot in Word Document
12515, caAERS_upd_user_setting_error.doc, 62976, application/msword, 02/19/2008 13:47:29, brownp, Update User Error
12528, investigator_details.doc, 299520, application/msword, 02/19/2008 16:24:45, brownp, Investigator Details/Study Created
12634, GenericErrorMessages.doc, 92160, application/msword, 02/22/2008 14:28:34, brownp, Generic Error Msg Screen Shot
12678, PSC_RegSubHoliday_wkend_error.doc, 27648, application/msword, 02/26/2008 17:31:13, brownp, Holiday/Weekend Error in logfile
12681, caAERS_RegSub_ObjectIDNull_Error.doc, 31232, application/msword, 02/26/2008 17:40:47, brownp, Object ID Null Error
12687, CTODS_HandshakeFailurewithRegSubject.doc, 24576, application/msword, 02/26/2008 19:52:36, brownp, Handshake Error with CTODS
12760, CDS_Fault_String_Error_in_Cert.doc, 52736, application/msword, 02/28/2008 13:30:47, brownp, CDS Fault String Debug Msg
14732, PSC_Error_in_ChangeActionBySitecoordinator.doc, 183808, application/msword, 06/10/2008 16:05:41, brownp, Screen Snapshots of Error
14748, AE_Not_RefectingCorrectActionwhenviewingwithAE_Link_in_PSC.doc, 226816, application/msword, 06/10/2008 16:10:46, brownp, Incorrect Action Status
16535, ObjectID_CanNotBeNull.doc, 65536, application/msword, 09/16/2008 16:01:28, brownp, 
16998, ErrorPop-upAddingDiseaseInCreatestudy.doc, 444416, application/msword, 10/09/2008 13:50:36, brownp, No Error Message Recorded in C3PR Error Window
17061, Unable_to_Complete_Register_Subject_Action_in_C3PR.doc, 42496, application/msword, 10/13/2008 10:27:33, brownp, C3PR error on Register subject
17130, Empty_msg_Rcvd_fromPSC_forSmokeTest.doc, 96256, application/msword, 10/15/2008 18:27:25, brownp, Empty Email Message from PSC
17164, Valid_CAS_Login_Invalid_C3PR_Login_Unable_to_Exit_C3PR.doc, 131072, application/msword, 10/16/2008 17:23:59, brownp, Unable to Logout of C3PR
17166, studycoordinatordoesNothaveEditPermissionsto_Study_that_userid_can_see.doc, 342016, application/msword, 10/16/2008 18:32:56, brownp, StudyCoordinatorEdit Permissions
17249, Site_ClearButton_PerformsNoAction.doc, 98304, application/msword, 10/21/2008 13:36:10, brownp, Clear Button Performs No Action
17252, Double-select-Investigatorfor_CoOrd_Center_&_Site.doc, 242688, application/msword, 10/21/2008 14:20:03, brownp, Error with Investigators
17263, caAERS_StackTrace_on_SearchInvestigators.doc, 142336, application/msword, 10/21/2008 17:21:13, brownp, Null POINTER Stack Trace in caAERS
17264, c3PRNullPointerErrorAfterBroadcastFail-Refresh.doc, 124416, application/msword, 10/21/2008 17:24:58, brownp, C3PR Null Pointer Exception
