caAERS-webapp-2010-08-27 16:16:14,958 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 2546067
caAERS-webapp-2010-08-27 16:16:15,036 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:16,051 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:16,805 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:17,602 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 3354246
caAERS-webapp-2010-08-27 16:16:17,631 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:18,532 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:19,227 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:19,906 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 9706361
caAERS-webapp-2010-08-27 16:16:19,935 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:20,852 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:21,594 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:22,313 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 2952717
caAERS-webapp-2010-08-27 16:16:22,346 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:23,216 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:24,000 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:24,655 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 1833826
caAERS-webapp-2010-08-27 16:16:24,688 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:25,552 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:26,186 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:26,875 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 3094273
